카테고리,제목,저자,정가,할인가격,이미지
[국내도서],"세네카, 오늘을 빼앗기고 있는 당신에게","루키우스 안나이우스 세네카 (지은이), 하와이 대저택 (편역)","18,000원","16,200원",
[국내도서],그랬다고 적었다,김애란 (지은이),"17,000원","15,300원",
[국내도서],싯다르타,"ㅣ 민음사 세계문학전집 58 헤르만 헤세 (지은이), 박병덕 (옮긴이)","8,000원","7,200원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],오뒷세이아,"- 영원한 고전, 철저한 고증, 크리스토퍼 놀란 감독 영화 <오디세이> 그리스어 원전 완역본 호메로스 (지은이), 김헌 (옮긴이)","25,000원","22,500원",
[국내도서],오디세이아 (국내 유일 명화 104점 수록 완역본),"- 명화와 함께 읽는, 고대 그리스어 완역본 ㅣ 현대지성 클래식 65 호메로스 (지은이), 페테르 파울 루벤스 (그림), 박문재 (옮긴이)","27,000원","24,300원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],찌니주의보,> 멜라민 트레이 (국내도서 2만원 이상) [국내도서] 찌니주의보 Choice 정지아 (지은이),"16,800원","15,120원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],사카모토 데이즈 27 (더블 특전판),"- 자긍심,  초판 한정 띠지 + 일러스트 포스트 카드 + 일러스트 레이어 카드 스즈키 유우토 (지은이)","6,500원","5,850원",
[국내도서],투명한 나선,"ㅣ 탐정 갈릴레오 시리즈 10 히가시노 게이고 (지은이), 김선영 (옮긴이)","22,000원","19,800원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],프로젝트 헤일메리 (알라딘 리커버 특별판),"ㅣ 앤디 위어 우주 3부작 알라딘 리커버 특별판 앤디 위어 (지은이), 강동혁 (옮긴이)","22,000원","19,800원",
[국내도서],원소 원정대,"- 118개 캐릭터로 마스터하는 주기율표 공략집 아게도리도리 (지은이), 박재현 (옮긴이), 장홍제 (감수)","19,800원","17,820원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],수족관,> 일러스트 투명 책갈피 (소설 2만원 이상) [국내도서] 수족관 유래혁 (지은이),"17,700원","15,930원",
[국내도서],"안녕, 피터팬",- 중증자폐인 아들을 두고 떠나는 시한부 아버지의 마지막 소원 전경철 (지은이),"22,000원","19,800원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],한밤중 개미 요정 (10주년 기념 한지 특별 한정판),ㅣ 신선미 그림책 신선미 (지은이),"25,000원","22,500원",
[국내도서],고양이는 고양이가 알려 드림,"ㅣ 똑똑교양 16 Choice 이용한 (지은이), 스노우캣 (그림), 김명철 (감수)","16,800원","15,120원",
[국내도서],오디세이 각본집,"> 기대평 + 영화예매권 (1인 1매, 추첨) [국내도서] 오디세이 각본집 ㅣ 영화 오디세이를 책으로 만나다 크리스토퍼 놀란 (지은이), 김은주 (옮긴이)","21,000원","18,900원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],태양 아래 올리브,ㅣ Untold Originals (언톨드 오리지널스) Choice 김초엽 (지은이),"19,800원","17,820원",
[국내도서],빵충 사육 준수 사항,ㅣ 안전가옥 오리지널 48 Choice 김혜영 (지은이),"16,800원","15,120원",
[국내도서],은총 수업,- 세상 한복판에서 마주친 하느님 남상근 라파엘 (지은이),"20,000원","18,000원",
[국내도서],테오,"앨런 레비 (지은이), 노지양 (옮긴이)","21,000원","18,900원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],오뒷세이아,"- (영화 <오디세이> 원작) 그리스어 원전 완역본 ㅣ 원전으로 읽는 순수고전세계 Choice 호메로스 (지은이), 천병희 (옮긴이)","33,000원","29,700원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
