seq,dong,apt_name,dong_code,household,movein,offer,lat,lng,status,collected_at
249597,둔촌동,광남캐스빌,1174010600,126,2004,,37.5331401,127.1393465,empty,2026-08-26 10:31:06
20178615,둔촌동,금강트레조빌,1174010600,50,2013,,37.5318762,127.1395049,empty,2026-08-26 10:31:06
20453448,둔촌동,더샵둔촌포레,1174010600,572,2024,매물 26건,37.5317282,127.1465572,done,2026-08-26 10:31:06
20446904,둔촌동,더샵파크솔레이유,1174010600,195,2023,매물 16건,37.529737687,127.14493374,done,2026-08-26 10:31:06
1575,둔촌동,동아,1174010600,170,1997,매물 6건,37.5331763,127.1458735,done,2026-08-26 10:31:06
1603,둔촌동,동아,1174010600,68,1992,,37.5288041,127.1442317,empty,2026-08-26 10:31:06
1615,둔촌동,둔촌신동아파밀리에,1174010600,357,2002,매물 14건,37.529157,127.1417216,done,2026-08-26 10:31:06
1606,둔촌동,둔촌신성미소지움,1174010600,460,1998,매물 18건,37.5278606,127.1428539,done,2026-08-26 10:31:06
1605,둔촌동,둔촌신성미소지움2차,1174010600,278,2000,매물 3건,37.5273324,127.1436872,done,2026-08-26 10:31:06
50551,둔촌동,둔촌청원,1174010600,61,2003,,37.5318058,127.1433684,empty,2026-08-26 10:31:06
20126613,둔촌동,둔촌푸르지오,1174010600,800,2010,매물 4건,37.5341284,127.1464079,done,2026-08-26 10:31:06
1609,둔촌동,둔촌하이츠,1174010600,232,1998,매물 24건,37.5295514,127.1424221,done,2026-08-26 10:31:06
50546,둔촌동,둔촌한솔솔파크,1174010600,132,2003,매물 5건,37.533873869,127.14808988,done,2026-08-26 10:31:06
1610,둔촌동,둔촌현대4차,1174010600,235,1996,매물 26건,37.5296229,127.1438166,done,2026-08-26 10:31:06
1604,둔촌동,라이프1,1174010600,78,1993,,37.5295198,127.1395776,empty,2026-08-26 10:31:06
12074130,둔촌동,삼익빌라,1174010600,66,1985,,37.5298997,127.1446429,empty,2026-08-26 10:31:06
12074073,둔촌동,성원,1174010600,74,1995,,37.5328727,127.1479022,empty,2026-08-26 10:31:06
20021323,둔촌동,세양청마루,1174010600,84,2005,매물 1건,37.5333,127.1406003,done,2026-08-26 10:31:06
563308,둔촌동,아인리베,1174010600,55,2005,,37.5309955,127.1384609,empty,2026-08-26 10:31:06
1500075497,둔촌동,올림픽파크서한포레스트,1174010600,128,2027,매물 1건,37.530577705,127.13784753,done,2026-08-26 10:31:06
1500073914,둔촌동,올림픽파크포레온,1174010600,"12,032",2025,매물 961건,37.524396096,127.14008442,done,2026-08-26 10:31:06
1589,둔촌동,프라자,1174010600,354,1984,매물 13건,37.535417,127.1482561,done,2026-08-26 10:31:06
1612,둔촌동,현대2차,1174010600,196,1988,매물 2건,37.5293765,127.1405704,done,2026-08-26 10:31:06
1613,둔촌동,현대3차,1174010600,160,1988,,37.527336654,127.14482445,empty,2026-08-26 10:31:06
20066937,둔촌동,후성누리움,1174010600,51,2007,매물 1건,37.5310351,127.1430978,done,2026-08-26 10:31:06
1500074838,천호동,e편한세상강동프레스티지원,1174010900,535,2026,매물 3건,37.542689292,127.12667765,done,2026-08-26 10:31:06
2500096759,천호동,SI팰리스(167-73),1174010900,60,2020,,37.539467,127.131858,empty,2026-08-26 10:31:06
2500106913,천호동,강동리버스시티,1174010900,162,2024,,37.5393574,127.129973,empty,2026-08-26 10:31:06
1500071349,천호동,강동밀레니얼중흥S클래스,1174010900,999,2024,매물 88건,37.541177783,127.12767479,done,2026-08-26 10:31:06
20065634,천호동,강동상떼빌,1174010900,110,2007,매물 3건,37.5370257,127.1304413,done,2026-08-26 10:31:06
2500050404,천호동,강동상떼빌,1174010900,60,2007,,37.536804982,127.13037716,empty,2026-08-26 10:31:06
249644,천호동,강동역두산위브센티움,1174010900,140,2004,,37.5372254,127.1348042,empty,2026-08-26 10:31:06
2500050390,천호동,강동역두산위브센티움,1174010900,123,2004,,37.537305113,127.13432965,empty,2026-08-26 10:31:06
20323378,천호동,강동역신동아파밀리에,1174010900,230,2015,매물 20건,37.53655393,127.13331282,done,2026-08-26 10:31:06
20019987,천호동,강동이루미,1174010900,74,2005,,37.5438676,127.1404747,empty,2026-08-26 10:31:06
20116765,천호동,강변그대가갤럭시,1174010900,134,2009,,37.5467514,127.1226843,empty,2026-08-26 10:31:06
20064875,천호동,강변그대가리버뷰,1174010900,225,2007,매물 9건,37.5483376,127.1233659,done,2026-08-26 10:31:06
1720,천호동,고려A,1174010900,67,2000,,37.5503225,127.1410765,empty,2026-08-26 10:31:06
1700,천호동,금호,1174010900,232,1987,매물 3건,37.5448169,127.142214,done,2026-08-26 10:31:06
20359320,천호동,다성이즈빌,1174010900,96,2017,,37.547644006,127.12367198,empty,2026-08-26 10:31:06
2500050427,천호동,대동피렌체리버,1174010900,97,2004,,37.5411639,127.1239858,empty,2026-08-26 10:31:06
1701,천호동,대명사이버,1174010900,100,2001,,37.543471,127.1400531,empty,2026-08-26 10:31:06
2500050403,천호동,대우한강베네시티,1174010900,189,2007,매물 2건,37.540962626,127.12455144,done,2026-08-26 10:31:06
20064804,천호동,대우한강베네시티,1174010900,205,2007,매물 4건,37.5406144,127.124962,done,2026-08-26 10:31:06
1500074821,천호동,더샵강동센트럴시티,1174010900,670,2025,매물 1건,37.539144829,127.12878018,done,2026-08-26 10:31:06
1727,천호동,동구햇살,1174010900,63,2002,,37.54822648,127.14097773,empty,2026-08-26 10:31:06
12075656,천호동,동도하이츠빌라,1174010900,66,1987,,37.5476485,127.1236957,empty,2026-08-26 10:31:06
1702,천호동,동아코아,1174010900,191,1997,,37.5412753,127.125912,empty,2026-08-26 10:31:06
1703,천호동,동아하이빌,1174010900,526,2000,,37.5447137,127.1344342,empty,2026-08-26 10:31:06
2500050388,천호동,두산위브센티움,1174010900,337,2004,,37.539083817,127.12687918,empty,2026-08-26 10:31:06
249649,천호동,두산위브센티움,1174010900,156,2004,,37.5394125,127.1270247,empty,2026-08-26 10:31:06
20355515,천호동,래미안강동팰리스,1174010900,999,2017,매물 34건,37.53738884,127.1319905,done,2026-08-26 10:31:06
20433190,천호동,로데오팰리스,1174010900,176,2022,,37.538347557,127.12801348,empty,2026-08-26 10:31:06
20400508,천호동,미사아름채,1174010900,141,2020,,37.538391172,127.12825682,done,2026-08-26 10:31:06
20459781,천호동,비오르(주상복합),1174010900,53,2026,매물 14건,37.541382966,127.12538098,done,2026-08-26 10:31:06
2500050425,천호동,비전그린,1174010900,65,2004,,37.5382561,127.1285904,empty,2026-08-26 10:31:06
1705,천호동,삼익,1174010900,150,1997,,37.5485854,127.1284964,empty,2026-08-26 10:31:06
1712,천호동,성원,1174010900,122,1998,,37.538685,127.1342372,empty,2026-08-26 10:31:06
2500050400,천호동,신구,1174010900,83,1997,,37.5385066,127.1356751,empty,2026-08-26 10:31:06
2500050396,천호동,쌍용플래티넘리버,1174010900,350,2004,,37.540284,127.1234973,empty,2026-08-26 10:31:06
20427701,천호동,아스하임9차(도시형),1174010900,149,2021,매물 1건,37.540767658,127.12385886,done,2026-08-26 10:31:06
20020026,천호동,암사브라운스톤,1174010900,125,2005,매물 3건,37.5487298,127.1290793,done,2026-08-26 10:31:06
20394648,천호동,어바니엘(도시형),1174010900,182,2019,,37.538157748,127.12873073,empty,2026-08-26 10:31:06
20385852,천호동,엘림스퀘어2차,1174010900,143,2019,매물 1건,37.540303506,127.12628494,done,2026-08-26 10:31:06
1707,천호동,우정,1174010900,85,1996,,37.5441778,127.1412294,empty,2026-08-26 10:31:06
256632,천호동,우정에쉐르,1174010900,68,2004,,37.537963832,127.13345677,empty,2026-08-26 10:31:06
1708,천호동,유원천호,1174010900,174,1997,,37.5487741,127.1278651,empty,2026-08-26 10:31:06
12075772,천호동,유천천호빌라,1174010900,72,1986,,37.5418628,127.1320851,empty,2026-08-26 10:31:06
2500097711,천호동,이안강동컴홈스테이1차,1174010900,378,2021,매물 5건,37.537463162,127.12898344,done,2026-08-26 10:31:06
2500097712,천호동,이안강동컴홈스테이2차,1174010900,276,2021,,37.53769574,127.12854245,empty,2026-08-26 10:31:06
2500050395,천호동,정암하이빌,1174010900,74,2003,,37.5371829,127.1338904,empty,2026-08-26 10:31:06
1709,천호동,제일,1174010900,62,1995,,37.5444338,127.1275679,empty,2026-08-26 10:31:06
1710,천호동,중앙하이츠,1174010900,226,1998,매물 2건,37.5472957,127.1302233,done,2026-08-26 10:31:06
20392914,천호동,집앤사스윗사이드,1174010900,76,2019,,37.545828879,127.12243781,empty,2026-08-26 10:31:06
20020083,천호동,천호e편한세상,1174010900,150,2005,,37.5443727,127.1243522,empty,2026-08-26 10:31:06
1711,천호동,천호롯데,1174010900,114,1999,,37.5416105,127.1382628,empty,2026-08-26 10:31:06
1704,천호동,천호삼성,1174010900,643,1997,매물 2건,37.5387176,127.1352572,done,2026-08-26 10:31:06
20455234,천호동,천호역마에스트로,1174010900,77,0,,37.5431454,127.1247178,empty,2026-08-26 10:31:06
20428155,천호동,천호역한강청년주택,1174010900,223,2021,,37.539341766,127.12236078,empty,2026-08-26 10:31:06
2500053663,천호동,천호역한강푸르지오시티,1174010900,752,2015,매물 2건,37.5405622,127.1260494,done,2026-08-26 10:31:06
249635,천호동,천호우림루미아트1차,1174010900,77,2004,,37.5441219,127.1397194,empty,2026-08-26 10:31:06
249637,천호동,천호우림루미아트2차,1174010900,70,2004,매물 4건,37.543065687,127.14064473,done,2026-08-26 10:31:06
1706,천호동,천호우성,1174010900,479,1985,,37.548590248,127.13812671,empty,2026-08-26 10:31:06
1714,천호동,천호태영,1174010900,649,1999,매물 1건,37.5381545,127.130007,done,2026-08-26 10:31:06
2500052938,천호동,청광노블하임,1174010900,195,2004,,37.536129047,127.13440063,empty,2026-08-26 10:31:06
2500050417,천호동,트레벨,1174010900,325,2003,,37.5372567,127.1295007,empty,2026-08-26 10:31:06
1723,천호동,평대미진,1174010900,58,2003,,37.5498013,127.1408827,empty,2026-08-26 10:31:06
20343588,천호동,프라임빌딩,1174010900,73,2016,,37.543167231,127.14169907,empty,2026-08-26 10:31:06
20172108,천호동,하이브2차,1174010900,66,2013,,37.5371982,127.1332781,empty,2026-08-26 10:31:06
1716,천호동,한신,1174010900,224,1991,매물 1건,37.5457708,127.1348466,done,2026-08-26 10:31:06
1717,천호동,현대,1174010900,156,1990,매물 1건,37.5383992,127.1329005,done,2026-08-26 10:31:06
1718,천호동,"현대코아(천호아이파크,주상복합)",1174010900,185,1999,매물 7건,37.5359976,127.133523,done,2026-08-26 10:31:06
20359308,천호동,현진리버파크,1174010900,72,2017,,37.542194118,127.1208166,empty,2026-08-26 10:31:06
20441320,천호동,힐데스하임천호,1174010900,188,2022,매물 1건,37.54183715,127.12615118,done,2026-08-26 10:31:06
2500050416,천호동,힐탑프라자,1174010900,429,1994,,37.5366362,127.1313529,empty,2026-08-26 10:31:06
20412014,강일동,강동리버스트4단지,1174011000,"1,239",2020,매물 21건,37.572919806,127.17222504,done,2026-08-26 10:31:06
