seq,uid,상세,중개사,매물유형,동,층,공급면적,전용면적,매매가,보증금,월세,등록일
20453448,40884274,"윤.34 l 집보고 결정 l 9호선 급행 l 선린초,둔촌초",윤포레온공인중개사사무소,매매,103,고,113.39,93.84,"227,000",0,0,2026-08-08
20453448,40884275,윤.34 l 그림같은 뷰 l 9호선급행 도보권,윤포레온공인중개사사무소,매매,102,고,113.03,93.54,"210,000",0,0,2026-08-08
20453448,40729647,34 신축 l 9호선급행지 초역세권 l 선린초 둔촌중,윤포레온공인중개사사무소,매매,101,고,114.99,95.24,"205,000",0,0,2026-08-03
20453448,41194570,"9호선직행보훈병원역도보5분,신축아파트, 일자산공원근접",서울부동산중개사무소,매매,105,중,114.99,95.24,"200,000",0,0,2026-08-18
20453448,41197180,,금성484-4004(단지내30여년)포레온공인중개사사무소,매매,105,저,114.99,95.24,"200,000",0,0,2026-08-18
20453448,41325796,"신축리모델링아파트, 일자산 숲세권 , 9호선보훈병원급행 이용용이",둔촌푸르지오공인중개사사무소,매매,105,중,114.99,95.24,"200,000",0,0,2026-08-21
20453448,41422676,"사준집,저평가,시스템에어컨4대,9호선7분,세안고",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,105,중,114.99,95.24,"200,000",0,0,2026-08-24
20453448,41480002,윤.34 l 세안고 l 9호선급행 l 선린초 둔촌중,윤포레온공인중개사사무소,매매,105,7,114.99,95.24,"200,000",0,0,2026-08-25
20453448,40919270,9호선 급행인접 l 냠향 트인뷰 l 신축 l 커뮤니티시설 l시스템에어컨5,강동하나공인중개사사무소,매매,107,고,171.42,95.24,"200,000",0,0,2026-08-10
20453448,41400779,"추천,남향,로얄층,개방감과 거실뷰 굿,시에4,9호선급행역,초중고 도보5분",펜테리움공인중개사사무소,매매,107,고,113.39,93.84,"200,000",0,0,2026-08-24
20453448,41413340,9호선 급행인접 l 초중고 학세권 l 신축 l 커뮤니티시설 l시스템에어,강동하나공인중개사사무소,매매,107,고,114.99,95.24,"200,000",0,0,2026-08-24
20453448,41414483,로얄34p. 9호선직행 학군좋은쾌적한단지 넓고잘빠진구조 신축2년차,로얄(02-470-0113)공인중개사사무소,매매,107,고,114.99,95.24,"200,000",0,0,2026-08-24
20453448,41422695,"신축2년차,9호선도보7분거리,초중고인접,채광최고,로얄동층",둔촌박성원공인중개사사무소,매매,107,고,114.99,95.24,"200,000",0,0,2026-08-24
20453448,41480003,34 l 집보고 결정 l 9호선 급행 l 초.중.고 l 공동환영,윤포레온공인중개사사무소,매매,107,13,114.99,95.24,"200,000",0,0,2026-08-25
20453448,41480757,"입주2년차,9호선도보7분거리,초중고인접,로얄동로얄층,채광최고",둔촌박성원공인중개사사무소,매매,107,고,171.42,95.24,"200,000",0,0,2026-08-26
20453448,41422675,"무주택자가능 ,세안고 시스템에어컨4대",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,107,중,114.99,95.24,"197,000",0,0,2026-08-24
20453448,41460679,"정남향,풀에어컨,알파룸확장,정상입주 마음에 드실겁니다",제일공인중개사사무소,매매,107,2,114.99,95.24,"195,000",0,0,2026-08-25
20453448,41134542,34 l 세안고 l 9호선급행지 초역세권 l 선린초 둔촌중,윤포레온공인중개사사무소,매매,105,저,114.99,95.24,"193,000",0,0,2026-08-15
20453448,41325793,"신축리모델링아파트, 일자산 조망굿 , 9호선보훈병원급행5분거리 ",둔촌푸르지오공인중개사사무소,매매,102,4,113.39,93.84,"192,000",0,0,2026-08-21
20453448,41422679,"사준집,입주2년차, 시스템에어컨4대,알파룸있음",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,107,저,114.99,95.24,"190,000",0,0,2026-08-24
20453448,41152600,34 l 신축 l 9호선 l 일자산 l 선린초 둔촌초,윤포레온공인중개사사무소,전세,103,4,113.39,93.84,0,"105,000",0,2026-08-16
20453448,41422669,"시스템에어컨설치됨,9호선보훈병원급행,신축2년",금성484-4004(단지내30여년)포레온공인중개사사무소,전세,103,4,113.39,93.84,0,"105,000",0,2026-08-24
20453448,41446270,"신축입주2년차,9호선도보7분거리,초중고인접",둔촌박성원공인중개사사무소,전세,103,4,169.00,93.84,0,"105,000",0,2026-08-25
20453448,41480005,"윤.34 l 신축 전세 l 9호선 l 선린초,둔촌초",윤포레온공인중개사사무소,전세,103,4,113.39,93.84,0,"105,000",0,2026-08-25
20453448,41152601,윤.34 단독 l 귀한전세 l 입주협의 l 남향 l 공동환영,윤포레온공인중개사사무소,전세,107,중,113.39,93.84,0,"95,000",0,2026-08-16
20453448,41386902,"윤.34 l 주인단독 l 최저가 l 9호선 l 둔촌초,선린초",윤포레온공인중개사사무소,전세,107,중,113.39,93.84,0,"95,000",0,2026-08-22
20446904,40864818,"입주가, 남향, 초중고 인접, 9호선 중앙보훈역 인접, 해 잘드는집,",부동산헤드라인공인중개사사무소,매매,104,고,160.12,118.70,"250,000",0,0,2026-08-07
20446904,40915114,주인거주  조경 대상 받은 단지 조경뷰 조합원 고급 옵션,라임공인중개사사무소,매매,104,고,160.12,118.70,"250,000",0,0,2026-08-09
20446904,41151548,남향 협의입주 조합원 고급옵션 조용하고 멋진 조경뷰,라임공인중개사사무소,매매,104,고,160.12,118.70,"250,000",0,0,2026-08-16
20446904,41197164,"신축3년차,9호선도보5분거리,초중고인접,조용하고 분위있는단지",둔촌박성원공인중개사사무소,매매,104,저,160.12,118.70,"225,000",0,0,2026-08-18
20446904,41443574,"신축3년차,방4,화2,9호선도보5분거리,초중고인접",둔촌박성원공인중개사사무소,매매,104,저,291.11,118.70,"225,000",0,0,2026-08-25
20446904,41449070,"신축3년차,9호선도보5분거리,급행강남권25분거리,초중인접",둔촌박성원공인중개사사무소,매매,104,저,116.60,84.88,"179,000",0,0,2026-08-25
20446904,41334939,조용한 주거 추가 인테리어했음 시스템 에어컨 4대 9호선 급행선 이용,라임공인중개사사무소,매매,104,저,116.60,84.88,"179,000",0,0,2026-08-21
20446904,41349320,"9호선도보5분거리,급행강남권25분거리,초중고인접",둔촌박성원공인중개사사무소,매매,104,저,210.27,84.88,"179,000",0,0,2026-08-22
20446904,41133669,조용한 주거 추가 인테리어했음 시스템 에어컨 4대 9호선 급행선 이용,라임공인중개사사무소,매매,104,저,210.27,84.88,"179,000",0,0,2026-08-15
20446904,41139573,남향 조용한 주거단지 9호선 급행선 이용 쾌적한 자연환경,라임공인중개사사무소,매매,102,저,115.34,84.85,"175,000",0,0,2026-08-15
20446904,41162066,정원 조망 남향 채광좋음 무주택자 가능 9호선 역세권,라임공인중개사사무소,매매,102,저,115.34,84.85,"175,000",0,0,2026-08-17
20446904,41293334,"9호선도보5분거리,급행강남권25분거리,초중고인접",둔촌박성원공인중개사사무소,매매,102,저,115.34,84.85,"175,000",0,0,2026-08-20
20446904,41443568,"9호선도보5분거리,급행강남권25분거리,초중고인접",둔촌박성원공인중개사사무소,매매,102,저,208.97,84.85,"175,000",0,0,2026-08-25
20446904,41151547,1년 단기  월세 가능 풀 시스템 에어컨 9호선 역세권,라임공인중개사사무소,전세,104,고,83.17,59.86,0,"65,000",0,2026-08-16
20446904,41072533,1 년 단기 풀에어컨 입주일 협의 커뮤니티 운영중 9호선 역세권,라임공인중개사사무소,전세,104,고,83.17,59.86,0,"65,000",0,2026-08-13
20446904,40793643,전세 가능 1년 단기 풀에어컨 조용한 안쪽동 9호선 역세권,라임공인중개사사무소,월세,104,고,83.17,59.86,0,"60,000",20,2026-08-05
1575,40482464,"  남향 9호선초역세권 교통, 학군, 편의시설 좋음",반도부동산,매매,102,저,108.36,84.34,"130,000",0,0,2026-07-27
1575,40574110,"  남향 입주협의  교통, 학군, 편의시설 좋음",반석공인중개사사무소,매매,102,저,108.36,84.34,"130,000",0,0,2026-07-29
1575,41194447," 9호선보훈병원역급행이용용이, 일자산숲세권",둔촌푸르지오공인중개사사무소,매매,102,저,108.36,84.34,"130,000",0,0,2026-08-18
1575,41310108,"남향,9호선도보8분거리,급행강남권25분거리,초중고인접,",둔촌박성원공인중개사사무소,매매,102,2,130.36,84.34,"130,000",0,0,2026-08-21
1575,41424944," 9호선보훈병원급행, 일자산숲세권 ",서울부동산중개사무소,매매,102,저,108.36,84.34,"130,000",0,0,2026-08-24
1575,41432699,"수리되어서깔끔합니다, 9호선도보가능",일광공인중개사사무소,매매,101,1,100.98,59.63,"90,000",0,0,2026-08-25
1615,41139575,거실확장등 올수리 주인거주 더블역세권 더블역세권,라임공인중개사사무소,매매,102,중,110.74,84.93,"160,000",0,0,2026-08-15
1615,41286634,확장포함 올수리 주인거주 더블역세권 풍부한 생활인프라,라임공인중개사사무소,매매,102,중,110.74,84.93,"160,000",0,0,2026-08-20
