제목,언론사,링크,요약
"카카오톡, '카카오AI'로 새 출발…2030년 AI 매출 1조 목표",뉴시스,https://www.newsis.com/view/NISX20260821_0003757272,카카오가 회사를 인적분할해 카카오톡·인공지능(AI)·광고·커머스 사업을 맡는 신설법인 ‘카카오AI’를 출범시킨다. 약 5000만명이 이용하는 카카오톡을 개인의 의도와 맥락을 이해하고 필요한 서비스까지 연결하는 AI 플랫폼으로 바꿔 새로운 성장동력으로 키운다는 계획이다. 카카오는 21일...
"[속보]카카오, 2개 회사로 쪼개진다···카카오 AI·카카오X로 인적분할...",경향신문,https://www.khan.co.kr/article/202608211020001,"카카오가 카카오 AI·카카오X로 인적분할한다고 21일 결의했다. 카카오는 인적분할 후 신설법인 카카오AI 대표에 정신아 현 카카오 대표이사를, 존속법인 카카오X 대표에 김도영 카카오인베스트먼트 대표 겸 CA협의체 그룹투자전략실장을 각각 내정했다. 카카오AI는 카카오톡을 중심으로 인공지능(AI)..."
"[속보] 카카오, 두 회사로 나뉜다…카카오AI·카카오X 인적분할",매경이코노미,https://www.mk.co.kr/article/12133027,"카카오, 두 회사로 나뉜다…카카오AI·카카오X 인적분할"
"[AI픽] ""AI로 세상을 바꿔보세요""…과기부, 사회문제 해결 공모전",연합뉴스,https://www.yna.co.kr/view/AKR20260821049500017?input=1195m,민간 클라우드·에이전트 개발 도구 등 지원 21일부터 접수·12월 시상…총상금 2천800만원 정부가 인공지능(AI)·디지털 기술로 기후재난과 사회문제를 해결할 아이디어와 서비스를 공모한다. 과학기술정보통신부와 한국지능정보사회진흥원(NIA)은 '2026 AI·디지털 기반 사회문제 해결 챌린지'를 개최한다고...
"[단독]최태원, 30일 일본 간다…AI·반도체 등 협력 논의",노컷뉴스,https://www.nocutnews.co.kr/news/6566088?utm_source=naver&utm_medium=article&utm_campaign=20260821023555,"한일 상공회의소 회장단 회의 참석을 위한 일정으로, 인공지능(AI)과 반도체, 에너지 등 미래산업과 저출산 등 양국의 공통 과제를 논의할 예정이다. 21일... 양측은 AI와 반도체, 에너지 등 미래산업에 대한 협력 방안 등을 논의할 것으로 관측된다. 지난해에는 최 회장을 비롯해 박승희 삼성전자 사장과 이형희..."
현대차 9조 투자·7367억원 국가사업…전북 피지컬 AI 산업화 속도,국민일보,https://www.kmib.co.kr/article/view.asp?arcid=9000004957&cp=nv,전북특별자치도가 피지컬 AI와 로봇을 미래 산업의 양대 축으로 키운다. 7367억원 규모의 피지컬 AI 국가사업과 현대자동차의 새만금 로봇 제조공장을 중심으로 기술개발부터 실증·생산까지 이어지는 산업 생태계를 구축한다는 구상이다. 새만금도 AI·로봇 중심으로 산업구조 재편에 나서고 있다. 전북도는...
AI 이미지 베끼면 저작권 침해?…日서 2억원 손배소,뉴시스,https://www.newsis.com/view/NISX20260821_0003757600,일본에서 생성형 인공지능(AI)으로 만든 이미지의 저작권을 둘러싸고 이례적인 손해배상 소송이 제기됐다. 사람이 AI 제작 과정에 얼마나 관여해야 저작물로 인정받을 수 있는지가 쟁점이다. AI 이미지 무단 사용에 대한 손해배상 책임을 법원이 어떻게 판단할지도 주목된다. 17일 아사히신문에 따르면...
"노동부 고용센터, AI에 행정 맡기고 상담은 사람이",세계일보,https://www.segye.com/newsView/20260820519813?OutUrl=naver,"실업급여 처리 등 행정업무는 인공지능(AI)이 주요하게 처리토록 하고, 현재의 고용서비스는 상담 중심으로 바꾸는 게 핵심이다. 고용노동부는 20일... 고용노동부 제공 이번 개편으로 노동부는 반복적인 행정업무는 AI에게 맡기고, 그 자리를 사람과 일자리를 잇는 서비스로 채울 예정이다. 실업급여 수급자..."
美중간선거 새 '돈줄'로 떠오른 AI·가상화폐·베팅기업,연합뉴스,https://www.yna.co.kr/view/AKR20260821004100075?input=1195m,"작년부터 4천억원 넘게 투입…정당 관계없이 親업계 의원 밀어주기 김경윤 특파원 = 미국 중간선거를 앞두고 가상화폐와 인공지능(AI), 베팅 기업들이... 선거자금 감시단체와 공화·민주당 전략 담당자 10여명은 가상화폐·AI·베팅 기업들이 선거 판도를 가름할 최대 산업군으로 떠오르고 있다고 지적했다...."
음식물 삼키고 '딱 2초'…AI가 사레 위험군 발견,뉴시스,https://www.newsis.com/view/NISX20260820_0003755302,국내 연구진이 음식물을 삼킨 직후 단 2초간의 짧은 목소리로 흡인(사레) 위험군과 정상군을 구분해낼 수 있는 인공지능(AI) 모델을 개발했다. 20일 의료계에 따르면 류주석 분당서울대병원 재활의학과 교수 연구팀(제1저자 김정민 선임연구원)은 음식물을 삼킨 직후 '아~' 하고 낸 목소리를 엄격하게 보정해 AI...
