기업명,공고명,요약,업무형태
이스트소프트,[ESTsoft] 정부지원 교육 사업 기획/운영 PM,[ESTsoft] 정부지원 교육 사업 기획/운영 PM (전남광주),상시 출근
주식회사 파인아워,사주 콘텐츠 기획·디자이너 (2주 단기),"반려동물 사주 앱 유료 콘텐츠 4종 기획·디자인, Figma/Claude Design",상시 출근
ForeDex,블록체인 데이터 개발자 모집,온체인 데이터 수집·처리 및 신규 프로젝트 개발,출근-재택 혼합
피에이아이리서치,영상처리 알고리즘 개발자,Computer Vision Engineer,출근-재택 혼합
코드비전,풀스택 개발자 채용,풀스택 개발자 채용,상시 출근
코드비전,코드비전 AI 개발 책임연구원,코드비전 AI 개발 책임연구원 모집,상시 출근
코드비전,AI Research Engineer (석사 이상),AI Research Engineer 모집,상시 출근
푸드와트럭 (이츠맵),앱개발자 구인공고,앱 개발자 구인,상시 재택
푸드와트럭 (이츠맵),자바 스프링부트 개발자 모집,플러터 자바 가능한 개발자 모집합니다.,상시 재택
카이헬스,B2C Marketing Associate,파트타임 계약직,출근-재택 혼합
스틸리언,안드로이드 앱 보안 개발자,안드로이드 앱 보안 개발자,상시 출근
JWK Paradiso,[화장품 브랜드 마케터 모집 / SOL147] 디자이너,[화장품 브랜드 마케터 모집 / SOL147] 디자이너 & 콘텐츠 크리에이터 채용,상시 출근
RXC(PRIZM),(인턴) 숏폼 콘텐츠 기획 편집,숏폼 콘텐츠 기획 편집,상시 출근
셀릿,바이럴 숏폼 소재 기획자,재택 프리랜서 | 숏폼 광고 소재 기획,상시 재택
셀릿,바이럴 숏폼 광고 편집자,재택 프리랜서 | 릴스·쇼츠·틱톡 광고 소재,상시 재택
"GW&P Co., Ltd.",공동창업자 CTO | 단골 관리 DX/AX,현장 주문 앱 MVP를 단골 관리 플랫폼으로 고도화할 기술 리더,상시 출근
주식회사 스페이스에이아이,로봇학습 · Sim-to-Real 연구자,로봇 조작 정책 학습 및 Sim-to-Real 검증,상시 출근
주식회사 스페이스에이아이,오픈소스·Benchmark 플랫폼 소프트웨어 엔지니,오픈소스 SDK·Benchmark 플랫폼 개발,상시 출근
주식회사 에코프라임,[특별채용] 브랜드 디자이너,"커머스, 인쇄물, SNS 컨턴츠 디자인, 기업IR 제작, Adobe 프로그램 상급 활용",상시 출근
주식회사 에코프라임,[특별채용] 퍼포먼스 마케터,"온라인 커머스 매출 성장 전략 수립, 퍼포먼스 광고 운영, 광고 성과 분석",상시 출근
주식회사 에코프라임,[특별채용] 브랜드 마케터,"온라인 커머스 브랜드 운영 및 성장전략 수립, 브랜드 아이덴티티·마케팅 기획",상시 출근
주식회사 에코프라임,[특별채용] R&D 팀장~실장급,"R&D, 정부 국책과제(지원/입찰) 및 산학협력 과제수행, 일정·결과 관리",상시 출근
주식회사 스페이스에이아이,데이터 · 멀티모달/GPU 인프라 엔지니어,멀티모달 데이터 파이프라인 및 GPU 인프라 구축,상시 출근
아로마티카,스토어 매니저(채용 연계형),신사 스토어 / 북촌 스토어,상시 출근
주식회사 윈스,"SI수행사 대상 인력투입 영업 파트너(비상주,부업)",SI수행사 대상 인력투입 B2B 영업,출근-재택 혼합
스페이스올컴퍼니,사이니지 & 그래픽 디자이너 채용 공고 (복사본),디자인 기획 및 설계,상시 출근
컬리,회계결산 담당자 (신입 가능),Finance,상시 출근
시선소프트 주식회사,공공정보시스템 IT 구축 개발자,java 기반 웹 어플리케이션 개발 및 유지보수,상시 출근
에이아이브이와이(AIVY),SW & Firmware Lead 개발자 채용,"Firmware, Software leading,",상시 출근
유한클로락스,IT Business Analyst & DX,"SAP, ERP, MES, WMS, BI, SQL",출근-재택 혼합
힐머에너지 주식회사,기능성 고분자·Graphene Oxide R&D 연구원,자가치유 고분자 및 Graphene Oxide 합성·제품화,상시 출근
힐머에너지 주식회사,이차전지 음극 바인더 R&D 연구원,Silicon/Graphite 음극용 고분자 Binder 개발 및 전기화학 평가,상시 출근
주식회사 클린디,[클린디] 브랜드 디자이너 경력 채용,"브랜드, 패키지 및 웹 디자이너",상시 출근
티디씨엑스코리아,[광화문] 글로벌 OTA 플랫폼 고객 경험 담당자,"고객상담,CS,여행,OTA플랫폼",상시 출근
몬드(주),풀스택 개발자 (백엔드/AI 엔지니어링 중심),Node.js·RAG 기반 AI 마케팅 SaaS 백엔드 개발,출근-재택 혼합
달구(달려가요구급차),백엔드·AI·Vision 개발팀장,Python·REST API·클라우드·AI Vision·Edge 시스템 설계,상시 출근
스콘에이아이 주식회사,AI 통역 서비스 기획 담당,"서비스 기획, CS, 품질 관리",상시 출근
스콘에이아이 주식회사,AI 통역 서비스 사업개발 · 제품영업 담당,"사업기획, 마케팅기획, 제품영업",상시 출근
스콘에이아이 주식회사,AI 통역 서비스 현장/온라인 운영 담당,"영업 지원, QA",상시 출근
스콘에이아이 주식회사,AI 통역 서비스 영업지원 담당 (복사본),"영업지원, 사무",상시 출근
한품,시니어 MD,HANPOOM 글로벌 커머스 시니어 MD 채용,상시 출근
캐치잇플레이,AI 학습 플랫폼 — 백엔드 엔지니어(재택근무 가능),NestJS·TypeScript 기반 AI 학습 서비스 백엔드 개발,상시 재택
한품,CRM 마케터 채용,HANPOOM 글로벌 커머스 CRM 마케터,상시 출근
에코라이프밸런스,암롤 기사,암롤 트럭 운전 및 조작,상시 출근
에코라이프밸런스,집게차 기사,집게차 운전 및 조작,상시 출근
에코라이프밸런스,CS 상담 매니저,고객 상담,상시 출근
주식회사 데이터드리븐,AI 엔지니어,1년이상~3년이하 (신입 가능),상시 출근
주식회사 데이터드리븐,AI 리서처,(3년 이상 ~7년이하),상시 출근
미소,Office Manager,오피스 매니저,상시 출근
Concentrix,LLM/Agent Engineer,과/차장급,상시 출근
Concentrix,LLM/Agent Engineer 인턴,"6개월, 정규직 전환 검토",상시 출근
"아이케미스트(CEN, LEVIO)",석사급 AI 모델 개발자 채용 모집 공고,AI 기반 위성영상 3D 재구성 및 고도맵 생성 개발자,상시 출근
"아이케미스트(CEN, LEVIO)",백엔드 기반 웹 풀스택 개발자 채용 모집 공고,플랫폼 웹앱 개발자(백엔드 기반 풀스텍 개발자),상시 출근
(주)프로보이스,숏폼 콘텐츠 작가,코미디 오피스물 숏폼 콘텐츠 작가,상시 출근
(주)프로보이스,AI영상제작자,2D 캐릭터 기반 오피스물 애니메이션,상시 출근
디사일로,System Software Engineer Inter,시스템개발자 인턴,상시 출근
애플디벨로퍼아카데미@POSTECH,Design Mentor,"Mobile Product, UX/UI Design 교육 및 멘토링",상시 출근
주식회사 에이에스엑스컴퍼니,풀스택 개발자,기획부터 배포까지 Product A to Z / WebRTC · RAG · 실시간 번역,출근-재택 혼합
주식회사 에이에스엑스컴퍼니,세일즈 & 커뮤니케이션,고객과 상담 전문가 양쪽을 잇는 커뮤니케이션 담당,출근-재택 혼합
주식회사 에이에스엑스컴퍼니,마케터 (콘텐츠·SNS),자사 브랜드 채널을 직접 기획하고 숏폼으로 성장시킬 분,출근-재택 혼합
팀카이,FDE(Forward-Deployed 엔지니어) 인턴,고객사 파견 엔지니어,상시 출근
주식회사 랩오브어패럴,풀스택 / 백엔드 테크 리드 (예비 CTO) 모집,AI 패션 생산 관리 솔루션 아키텍처 설계 및 외주 개발사 핸들링,상시 출근
주식회사 리주비놀,경영지원 · 운영관리 담당자 채용,정부과제 행정 / 회계 / 총무,상시 출근
주식회사 리주비놀,로봇 제어 및 펌웨어 개발 엔지니어,레이저 시술 자동화 시스템,상시 출근
주식회사 리주비놀,기구개발 엔지니어,레이저 시술 자동화 시스템,상시 출근
보난자팩토리,IT 인프라 담당자,네트워크/서버/클라우드 구축 담당자 모집,상시 출근
주식회사 아울소싸이어티,[ 채용공고 ] 패션 이커머스 운영 매니저,「패션 이커머스 운영 매니저｜상품·콘텐츠 운영」,상시 출근
주식회사 아울소싸이어티,일본마켓 Global B2B Sales Manager,「 Global B2B Sales Manager(일본마켓)｜커머셜 세일즈 담당」,상시 출근
(주)모디전스비전,커뮤니케이션 인턴 채용(1명),대외 커뮤니케이션 인턴,상시 출근
글래스돔코리아,Backend Software Engineer,Senior Backend Software Engineer,출근-재택 혼합
Maya,Go-To-Market Student Intern,Go-To-Market Student Intern,상시 재택
한패스,GoHanpass 콘텐츠 마케팅 경력 채용(6년~),"여행플랫폼 콘텐츠 전략 기획 및 제작, 관리",상시 출근
호스탠다드,"[주4.5일 초기멤버] 사업 운영, 경영 기획 담당자","흩어져 있는 일들을 문서와 프로세스를 정리하며, 회사가 일하는 기준을 만드는 일",상시 출근
한패스,해외 사업 기획 및 운영 - 중화권(대만) 타겟 경력,"여행 플랫폼 운영, 타겟 맞춤 프로모션/콘텐츠 기획",상시 출근
한패스,글로벌 핀테크 Product Designer 경력 채용,외국인 특화 금융 및 라이프스타일 서비스/UXUI 디자인,상시 출근
주식회사 윈스,"SI수행사 대상 인력투입 영업 파트너(비상주, 부업)",SI수행사 대상 인력투입 B2B 영업 파트너,상시 재택
(주)오마이호텔앤코,마케터,브랜드/콘텐츠 마케터,상시 출근
Anymorph,Product Engineer,TypeScript · AI Agent · 브라우저 자동화,상시 출근
(가칭)BD인베스트먼트,[BD Investment] 투자 심사역 채용,[BD Investment] 투자 심사역 채용,상시 출근
복스에이아이,B2B Growth Marketer,SEO·GEO 콘텐츠로 도입 문의와 매출을 만드는 첫 마케터,상시 출근
(주)지놈앤컴퍼니,국내사업팀 MD,"국내화장품, 온라인MD, 화장품MD, 코스메틱, 브랜드MD",상시 출근
에이아이카데미 주식회사,LLM·AI Agent Engineer,GPTalk의 Agentic LLM 설계·개발 및 서비스 고도화,상시 출근
홈핏,"B2B 운영 매니저 (프로그램 운영, 고객 경험관리)",Operations Manager,상시 출근
(주)베스텔라랩,경영지원팀 팀원,경영지원팀 팀원,상시 출근
주식회사 베스턴,인천공항에서 세계로,베스턴의 데이터를 지킬 보안·개인정보 담당 리드를 찾습니다,상시 출근
스포카,안드로이드 프로그래머(3년 이상),안드로이드 프로그래머(3년 이상),상시 출근
주식회사 베스턴,임시저장,,상시 출근
(주)프로보이스,콘텐츠사 글로벌팀,PM(Project Manager),상시 출근
ZZAPPY,[스타트업] ZZAPPY 뷰티 브랜드 디자이너 채용,온·오프라인 디자인 전반,상시 출근
봄찬,[그로스 마케터] 흔하디 흔한 매뉴얼 마케터 X 🔍,석재 커머스 그로스 마케팅,상시 출근
팀카이,Content Marketing Specialist,콘텐츠 마케팅 스페셜리스트,상시 출근
팀카이,Content Marketing 인턴,콘텐츠 마케팅 인턴,상시 출근
주식회사 윈스,"SI수행사 대상 인력투입 영업 파트너(비상주,부업)",SI수행사 대상 인력투입 B2B 영업,상시 재택
(주)테헤란컴퍼니그룹,유튜브콘텐츠기획자,유튜브 채널 관리 및 콘텐츠기획자,상시 출근
에이치와이파트너스,SWA(TA),SWA(TA) / 미들웨어 엔지니어 모집 (10년 이상),상시 출근
세일러주식회사,[Market Olsen] 마켓올슨 퍼포먼스 마케터,퍼포먼스마케팅 경력직 채용,상시 출근
스콘에이아이 주식회사,경영관리 스탭 채용,"경영 지원, 사무 보조",상시 출근
모두닥,모두닥 인플루언서 마케팅 인턴,"마케팅, 인플루언서 마케터",상시 출근
"AIM Mapping Co.,ltd",공동창업자(CBO) 모집,Chief Business Officer. AI Privacy Platform 기업접목,출근-재택 혼합
(주)테헤란컴퍼니그룹,마케터,브랜드/퍼포먼스마케터,상시 출근
"AIM Mapping Co.,ltd",Founding Business Development,"엔터프라이즈 세일즈 리드,AI Privacy & Security 사업개발·B2B 영업 리드",출근-재택 혼합
GC메디아이,Backend Engineer,,상시 출근
주식회사 햅티,정부 R&D 과제 정산·행정(월수금 오후 2-6시),"RCMS/IRIS 연구비 정산·행정 전담, 월수금 오후 2-6시, 시급 15,000원",상시 출근
주식회사 햅티,소프트 로봇 공압·유압 액추에이터 설계 엔지니어,로봇 그리퍼용 유체 액추에이터의 챔버·유로·밸브 시스템 설계,상시 출근
"AIM Mapping Co.,ltd",공동창업자 CEO 모집,AI 시대의 새로운 Privacy Platform을 함께 성장시킬 대표를 찾습니다.,출근-재택 혼합
레이어바이레이어,[레이어랩] K-뷰티 브랜드 상품기획자(BM),상품기획자(BM) 채용,상시 출근
주식회사 케이엠컬렉티브,디지털 에디터,"트렌드에 민감하고, 디지털 콘텐츠 제작에 진심인 디지털 에디터",출근-재택 혼합
내러티브,AI Native 경영지원 매니저,"경영지원, AI 운영, 인사, 총무, 회계",상시 출근
퀀텀에이아이,테크니컬 프리세일즈 엔지니어,테크니컬 프리세일즈 엔지니어,상시 출근
퀀텀에이아이,AI 비즈니스 개발 및 영업 직군,AI 비즈니스 개발 및 영업(BD / Sales),상시 출근
프라이데이즈랩(리텐틱스),Junior CEO Staff,Junior CEO Staff,상시 출근
프라이데이즈랩(리텐틱스),주니어 데이터 사이언티스트,주니어 데이터 사이언티스트,상시 출근
프라이데이즈랩(리텐틱스),데이터 사이언티스트 5년 이상,데이터 사이언티스트 경력,상시 출근
Aniai,Firmware Engineer,"가능한 작업은 모두 자동화하고, 다양한 개발 프레임워크를 적극 활용합니다.",상시 출근
Aniai,Electrical Engineer,Aniai의 개발팀은 각 개발자의 효율성을 극대화하는 업무 환경을 조성하는 데 노력합니다.,상시 출근
Aniai,Mechanical Engineer,"조리 로봇을 설계하고, 글로벌 푸드서비스 자동화 시장을 함께 할 엔지니어를 모집합니다.",상시 출근
(주)에코써치,국내혁신보안솔루션기업 풀스텍 개발,웹 어플리케이션 기반의 Backend & Frontend 개발 및 운영,출근-재택 혼합
(주)에코써치,국내혁신보안솔루션기업 백엔드 엔지니어,Java & Spring Boot 기반 웹 애플리케이션 개발,출근-재택 혼합
(주)에코써치,국내혁신보안솔루션기업 AI 엔지니어,Python 기반 머신러닝 딥러닝 모델 개발,출근-재택 혼합
(주)에코써치,국내혁신보안솔루션기업 기술지원 엔지니어,"웹 어플리케이션 기반 솔루션 기술지원, Linux",상시 출근
핸디즈,[어반스테이]호텔/숙박 서비스 직군 채용 (전국),숙박 레지던스 전국 지점,상시 출근
(주)에코써치,국내혁신보안솔루션기업 데이터 엔지니어,"데이터 처리, Python or Go",출근-재택 혼합
"AIM Mapping Co.,ltd",공동 창업자 CTO 모집,AI 시대의 새로운 Privacy Platform을 함께 만들 분을 찾습니다,출근-재택 혼합
넥스트챕터,[인턴] Brand Manager (CPG),채용연계형 BM 인턴,상시 출근
주식회사 패리티,[패리티] 콘텐츠 마케터 (PD),콘텐츠 마케터(PD),상시 출근
혜윰앤컴퍼니,병원 마케팅 콘텐츠 운영 사무보조 인턴 채용,"블로그/SNS등 병원 마케팅 채널 관리, 마케팅 자료조사",상시 출근
혜윰앤컴퍼니,병원 마케팅 대행사 마케터 채용 (경력직/3년차이상),"거래처관리, 마케팅컨텐츠 기획 및 제작",상시 출근
주식회사 클린디,[클린디] SCM 물류 경력 채용,"물류담당, 입출고담당, 재고관리",상시 출근
주식회사 햅티,하드웨어 임베디드 엔지니어,햅틱·소프트 로보틱스 Physical AI 임베디드 HW 개발,상시 출근
피노키오랩,AI 개발자(Computer Vision Enginee,AI 개발자(Computer Vision Engineer),상시 출근
피노키오랩,"백엔드 개발자 (Backend Engineer, Fas","백엔드 개발자 (Backend Engineer, FastAPI)",상시 출근
피노키오랩,프론트엔드 개발자 (Frontend Engineer),프론트엔드 개발자 (Frontend Engineer),상시 출근
컬리,뷰티 에디터,뷰티 에디터,상시 출근
클라스마케팅,BTL 마케팅 및 현장 프로모션 운영 담당자,최전선에서 빛내는 BTL 마케팅 전문 팀입니다.,상시 출근
트리디엇츠,3D 아티스트 채,AI 컴패니언,상시 출근
레이어바이레이어,[레이어랩] 뷰티 브랜드 퍼포먼스 마케터,퍼포먼스마케터 경력직 채용,상시 출근
레이어바이레이어,[레이어랩] 뷰티 브랜드 PR 전략/커뮤니케이션 매니저,PR 전략/커뮤니케이션 매니저 채용,상시 출근
(주)지놈앤컴퍼니,일본사업팀 MD,"Qoo10, 이커머스, 프로모션, 상품 전시, 상품 판매, CS, 기타 영업관련",상시 출근
패스트캠퍼스,Strategic TA Partner,채용 담당자,상시 출근
주식회사 시나미로빌리지,프로덕트 디자이너모집 (UI/UX Product),Figma,상시 출근
Corebeat,코어비트(Corebeat) 마케팅·고객성장 담당자 채용,"고객 관리 및 계정 확대, 신규 고객 발굴 및 B2B 마케팅, 콘텐츠·채널 마케팅",상시 출근
언맨드시스템,무인항공기 제작 및 제어 인턴,제트엔진 무인기 플랫폼 설계 및 비행제어 알고리즘 개발,상시 출근
다음,자연언어처리(NLP) 서비스 개발자,"한국어 형태소 분석기 설계 및 고도화 (품사 태깅, 토큰화, 원형 복원 등)",출근-재택 혼합
컬리,주니어 뷰티 MD,주니어 뷰티 MD,상시 출근
유니퀘스트,필드 앱 엔지니어,Realtek 반도체 기술영업,상시 출근
유니퀘스트,반도체 기술영업,Infineon 제품 기술영업,상시 출근
유니퀘스트,필드 앱 엔지니어,Infineon Bluetooth 및 MCU제품군 기술지원,상시 출근
유니퀘스트,필드 앱 엔지니어,Renesas Automotive MCU/SoC 제품군 기술지원,상시 출근
유니퀘스트,반도체 기술영업,Renesas MCU 반도체 기술영업,상시 출근
유니퀘스트,반도체 기술영업,"Marvell, MaxLinear Network 반도체 기술영업",상시 출근
유니퀘스트,필드 앱 엔지니어,"Marvell, MaxLinear Network 반도체 기술지원 엔지니어",상시 출근
한솔PNS IT서비스부문,리조트 ERP 개발/운영유지보수,"Java 기반 웹개발, JavaScript, HTML5, CSS3",상시 출근
A&A Ent,브랜드 마케팅 매니저,A&A ENT 브랜드 마케팅 매니저 정규직 채용,출근-재택 혼합
A&A Ent,크리에이터 마케팅 매니저 정규직 채용,A&A ENT 크리에이터 마케팅 매니저 정규직 채용,출근-재택 혼합
한솔PNS IT서비스부문,플랫폼 아키텍트,Java 기반 웹시스템 백엔드 개발,상시 출근
나노실리칸첨단소재,플랫폼 개발자(Full Stack),React · Next.js · Node.js · Python · AWS · API,상시 출근
나노실리칸첨단소재,서비스기획자(PM),신사업 · 플랫폼 기획 · PM · UX · B2B SaaS · 문화/엔터 · 브랜드 보호,상시 출근
Concentrix,Salesforce 개발,과장~차장급 (5년 이상),상시 출근
고퍼소프트,"SEO의 다음 단계, GEO를 이끌 사람을 찾습니다.",퍼포먼스마케팅,상시 출근
주식회사 포인트서퍼,"기획부터 실행까지, 진짜 브랜딩을 경험할 사람 구합니다","브랜딩,마케팅,디자인",출근-재택 혼합
리스모,[신입/인턴] 수입차 위탁 구매/판매 어시스턴트,고객사 영업 관리 및 운영 지원,상시 출근
리스모,[경력]수입차 위탁 구매/판매 매니저,고객사 영업 관리 및 운영 지원,상시 출근
프라이데이즈랩(리텐틱스),Junior B2B Marketer,Junior B2B Marketer (경력 1년 이상),상시 출근
주식회사 액시옴,2026 주식회사 액시옴 콘텐츠 마케터 인턴 채용공고,콘텐츠 마케터(3개월 전환형) 채용공고,상시 출근
Trajectry,핀테크 프로젝트 매니저,서울 기반 프로젝트,출근-재택 혼합
GC메디아이,AI-Native Engineer(인턴),"AI-Native & Development, Tech Stack & Engineering,",상시 출근
Mek-lab,3D Graphics/Web Viewer Eng.,WebGL / Three.js 기반 3D 그래픽스,상시 출근
마텔라,[패션브랜드] 콘텐츠 브랜딩 마케터,글로벌 SNS 콘텐츠 기획·제작,출근-재택 혼합
주식회사 패리티,[패리티] 제품 디자이너 (생활/패션 잡화),제품 디자이너,상시 출근
