기업명,그룹사,기업종류,공고명,직무키워드,학력,경력구분,근무지
양산부산대학교병원,,,2026년도 8월 블라인드 공개채용 계약직(업무(시설)지원직) 모집,"시설관리, 대학병원, 일반병원, 종합병원, 기전기사",학력무관,신입 · 계약직,경남 양산시
양산부산대학교병원,,,2026년도 8월 블라인드 공개채용 계약직(간호조무직) 모집,"간호조무사, 외래, 대학병원, 일반병원, 종합병원",학력무관,신입 · 계약직,경남 양산시
양산부산대학교병원,,,2026년도 8월 블라인드 공개채용 계약직(행정직) 모집,"사무직, 서무, 문서작성, 사무보조, 사무행정",학력무관,신입 · 계약직,경남 양산시
양산부산대학교병원,,,2026년도 8월 블라인드 공개채용 계약직(보건직-의공기사) 모집,"의공기사, 대학병원, 일반병원, 종합병원",학력무관,신입 · 계약직,경남 양산시
양산부산대학교병원,,,2026년도 8월 블라인드 공개채용 계약직(보건직-작업치료사),"작업치료사, 재활의학과, 대학병원, 일반병원, 종합병원",학력무관,신입 · 계약직,경남 양산시
양산부산대학교병원,,,2026년도 8월 블라인드 공개채용 계약직(보건직-임상병리사) 모집,"임상병리사, 내분비내과, 진단검사의학과, 대학병원, 일반병원",학력무관,신입 · 계약직,경남 양산시
양산부산대학교병원,,,2026년도 8월 블라인드 공개채용 계약직(보건직-방사선사) 모집,"방사선사, 영상의학과, 대학병원, 일반병원, 종합병원",학력무관,신입 · 계약직,경남 양산시
양산부산대학교병원,,,2026년도 8월 블라인드 공개채용 계약직(원무직) 모집,"드레싱보조, 원무, 의약사무, 진료보조, 약제과",학력무관,신입 · 계약직,경남 양산시
(주)대한항공,한진그룹,대기업,항공우주 무인기 AI 전문인력 상시모집,"딥러닝, 알고리즘, S/W, 알고리즘개발, AI(인공지능)",석사↑,신입 · 경력 · 계약직,서울전체
양산부산대학교병원,,,2026년도 블라인드 공개채용 청년인턴(일반행정) 모집,"사무직, 서무, 문서작성, 사무보조, 사무행정",학력무관,신입 · 인턴직,경남 양산시
제주국제자유도시개발센터,,,2026년 체험형청년인턴 채용,"사무직, 사무보조, 사무행정",고졸↑,경력무관 · 인턴직,전국 외
