순위,곡명,아티스트
1,LOVE ATTACK,RESCENE(리센느)
2,갑자기,아이오아이 (I.O.I)
3,REDRED,CORTIS (코르티스)
4,It's Me,아일릿(ILLIT)
5,여름아 부탁해,볼빨간사춘기
6,Pretty Girl,RESCENE(리센느)
7,BAD,ATEEZ(에이티즈)
8,LEMONADE,aespa
9,만찬가,태연 (TAEYEON)
10,Drowning,WOODZ
11,캐치 캐치,YENA(최예나)
12,BiiiG,BIGBANG (빅뱅)
13,소문의 낙원,AKMU(악뮤)
14,Good Goodbye,화사(HWASA)
15,사랑하게 될 거야,한로로
16,"기쁨, 슬픔, 아름다운 마음",AKMU(악뮤)
17,너의 차선,조선힙합
18,0+0,한로로
19,Pop Off Pop Off,KiiiKiii (키키)
20,Lemon Tang,Hearts2Hearts (하츠투하츠)
21,RUDE!,Hearts2Hearts (하츠투하츠)
22,타임캡슐,다비치
23,Less than a Lover,제니 (JENNIE)
24,BANG BANG,IVE(아이브)
25,Deja Vu,RESCENE(리센느)
26,모르시나요 (PROD. 로코베리),조째즈
27,404 (New Era),KiiiKiii (키키)
28,봄 내음보다 너를,김나영
29,뛰어(JUMP),BLACKPINK
30,Heavy Serenade,NMIXX
31,Surfin' Boy,Red Velvet (레드벨벳)
32,마음의 숲,조선힙합
33,Vitamin ME,프로미스나인
34,행복하지 말아요,DK(디셈버)
35,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
36,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
37,너에게 닿기를,10CM
38,나는 반딧불,황가람
39,어제보다 슬픈 오늘,우디 (Woody)
40,입춘,한로로
41,생각을 멈추다 보면,최유리
42,Stay,씨야(SeeYa)
43,마음이라는 우물,조선힙합
44,Whiplash,aespa
45,Popcorn,도경수(D.O.)
46,너의 모든 순간,성시경
47,Pretender,OFFICIAL HIGE DANDISM
48,3일 후,HYNN(박혜원)
49,멸종위기사랑,이찬혁
50,청춘만화,이무진
51,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
52,한 페이지가 될 수 있게,DAY6(데이식스)
53,BOOMPALA,LE SSERAFIM (르세라핌)
54,like JENNIE,제니 (JENNIE)
55,내게 사랑이 뭐냐고 물어본다면,로이킴
56,So Cute,화사(HWASA)
57,눈을 감아도(2026),순순희(지환)
58,비행기 (feat. 츄 (CHUU)),"한해, 문세윤"
59,주저하는 연인들을 위해,잔나비
60,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
61,REBEL HEART,IVE(아이브)
62,Magnetic,아일릿(ILLIT)
63,HAPPY,DAY6(데이식스)
64,눈물이 더 가까운 사람 (2026),"먼데이 키즈, 이홍기(FT아일랜드)"
65,에피소드,이무진
66,Blue Valentine,NMIXX
67,APT.,"로제 (ROSÉ), Bruno Mars"
68,toxic till the end,로제 (ROSÉ)
69,"떠나가요, 떠나지마요 : 시대를 초월한 마음","순순희(기태), 백예슬"
70,그래 늦지 않았어 (2025),"아샤트리, 이예은, 전건호"
71,BLACKHOLE,IVE(아이브)
72,비의 랩소디,임재현
73,FAMOUS,ALLDAY PROJECT
74,I AM,IVE(아이브)
75,나는 아픈 건 딱 질색이니까,i-dle (아이들)
76,첫눈처럼 너에게 가겠다,에일리(Ailee)
77,WDA (Whole Different Animal) (Feat. G-DRAGON),aespa
78,Die With A Smile,"Lady Gaga, Bruno Mars"
79,시작의 아이,마크툽(Maktub)
80,헤어지자 말해요,박재정
81,슬픈 초대장,순순희(지환)
82,그대 작은 나의 세상이 되어,카더가든
83,Supernova,aespa
84,MY LOVE(2025),"이예은, 아샤트리, 전건호"
85,고민중독,QWER
86,나의 하루처럼,성시경
87,SPAGHETTI (feat. j-hope of BTS),"LE SSERAFIM (르세라핌), j-hope"
88,BUMPA,비비(BIBI)
89,Love Love Love (Feat. Yoong Jin of Casker),에픽하이 (EPIK HIGH)
90,Welcome to the Show,DAY6(데이식스)
91,Love wins all,아이유(IU)
92,미치게 그리워서,황가람
93,첫 만남은 계획대로 되지 않아,TWS(투어스)
94,사고쳤어요,V.O.S
95,Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee, KPop Demon Hunters Cast"
96,마치 오늘처럼,정승환
97,"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush)","김하온(HAON), Nosun, Raf Sandou, Marv, 정준혁"
98,ONE MORE TIME,ALLDAY PROJECT
99,오늘만 I LOVE YOU,BOYNEXTDOOR
100,바다의 왕자,탑현
